strain_id,strain,genus,polysaccharide,polysaccharide_name,polysaccharide_source,source_kingdom,OD600_48h,OD600_48h_sd,n_rep,OD600_48h_batch1,OD600_48h_batch2
DA14,Bacteroides_xylanisolvens,Bacteroides,PPs,Poria polysaccharides,Poria cocos,Fungus,0.016833333333333336,0.01339278412678509,6,0.02,0.013666666666666667
DA14,Bacteroides_xylanisolvens,Bacteroides,PQPs,Panax Quinquefolium polysaccharides,Panax quinquefolium,Plant,0.15933333333333333,0.017189143860782213,6,0.14866666666666667,0.17
DA14,Bacteroides_xylanisolvens,Bacteroides,PSPs,Polygonatum sibiricum polysaccharides,Polygonatum sibiricum,Plant,0.23416666666666666,0.022833454987510465,6,0.217,0.25133333333333335
DA14,Bacteroides_xylanisolvens,Bacteroides,RAPs,Rhizoma Anemarrhenae polysaccharides,Anemarrhena asphodeloides,Plant,-0.0031666666666666666,0.00611282804164052,6,-0.006333333333333333,0.0
DA14,Bacteroides_xylanisolvens,Bacteroides,RNPs,Radix Notoginseng polysaccharides,Panax notoginseng,Plant,0.18100000000000002,0.008740709353364866,6,0.17566666666666667,0.18633333333333332
DA14,Bacteroides_xylanisolvens,Bacteroides,RPPs,Radix Pseudostellariae polysaccharides,Pseudostellaria heterophylla,Plant,0.2333333333333333,0.019866219234335125,6,0.219,0.24766666666666667
DA14,Bacteroides_xylanisolvens,Bacteroides,SPs,Scrophulariaceae polysaccharide,Scrophularia ningpoensis,Plant,0.36166666666666664,0.02023528271773505,6,0.347,0.37633333333333335
DA1414,Bacteroides_faecis,Bacteroides,APs,Astragalus polysaccharides,Astragalus membranaceus,Plant,0.3096666666666667,0.015502687938977999,3,0.3096666666666667,
DA1414,Bacteroides_faecis,Bacteroides,AdPs,Adenophora polysaccharides,Glehnia littoralis,Plant,0.44916666666666666,0.020817460620034006,6,0.4463333333333333,0.45199999999999996
DA1414,Bacteroides_faecis,Bacteroides,AnPs,Angelica polysaccharides,Angelica sinensis,Plant,0.2585,0.017941571837495184,6,0.258,0.259
DA1414,Bacteroides_faecis,Bacteroides,CPPs,Codonopsis pilosula polysaccharides,Codonopsis pilosula,Plant,0.34883333333333333,0.01709288350942188,6,0.3446666666666667,0.353
DA1414,Bacteroides_faecis,Bacteroides,DPs_1,Dendrobe polysaccharides 1,Dendrobium officinale,Plant,0.06733333366666666,0.004041451884327384,3,0.06733333366666666,
DA1414,Bacteroides_faecis,Bacteroides,DPs_2,Dendrobe polysaccharides 2,Dendrobium officinale,Plant,0.059666666666666666,0.006658328118479394,3,0.059666666666666666,
DA1414,Bacteroides_faecis,Bacteroides,GLPs_1,Ganoderma lucidum polysaccharides 1,Ganoderma lucidum,Fungus,0.078666667,0.06238589584192889,3,0.078666667,
DA1414,Bacteroides_faecis,Bacteroides,GLPs_2,Ganoderma lucidum polysaccharides 2,Ganoderma lucidum,Fungus,0.011666666666666665,0.005131601439446885,3,0.011666666666666665,
DA1414,Bacteroides_faecis,Bacteroides,GPs,Ginseng polysaccharides,Panax ginseng,Plant,0.526,0.009643650760992984,3,0.526,
DA1414,Bacteroides_faecis,Bacteroides,HAPs,Hovenia acerba polysaccharides,Hovenia acerba,Plant,0.13349999999999998,0.02509780866928426,6,0.13833333333333334,0.12866666666666668
DA1414,Bacteroides_faecis,Bacteroides,LBPs_1,Lycium barbarum polysaccharides 1,Lycium barbarum,Plant,0.16033333366666666,0.01721433511156714,3,0.16033333366666666,
DA1414,Bacteroides_faecis,Bacteroides,LBPs_2,Lycium barbarum polysaccharides 2,Lycium barbarum,Plant,0.07633333333333332,0.011590225767142463,3,0.07633333333333332,
DA1414,Bacteroides_faecis,Bacteroides,PLPs,Pueraria lobata polysaccharides,Pueraria lobata,Plant,0.226,0.026107470195329153,6,0.22366666666666668,0.22833333333333336
DA1414,Bacteroides_faecis,Bacteroides,PPs,Poria polysaccharides,Poria cocos,Fungus,0.057166666666666664,0.03321696353772672,6,0.046000000000000006,0.06833333333333333
DA1414,Bacteroides_faecis,Bacteroides,PQPs,Panax Quinquefolium polysaccharides,Panax quinquefolium,Plant,0.28583333333333333,0.012890565025112983,6,0.28933333333333333,0.2823333333333333
DA1414,Bacteroides_faecis,Bacteroides,PSPs,Polygonatum sibiricum polysaccharides,Polygonatum sibiricum,Plant,0.036166666666666666,0.009368386556214824,6,0.042333333333333334,0.03
DA1414,Bacteroides_faecis,Bacteroides,RAPs,Rhizoma Anemarrhenae polysaccharides,Anemarrhena asphodeloides,Plant,0.222,0.024722459424579915,6,0.24033333333333332,0.20366666666666666
DA1414,Bacteroides_faecis,Bacteroides,RNPs,Radix Notoginseng polysaccharides,Panax notoginseng,Plant,0.32416666666666666,0.017022534084755597,6,0.311,0.3373333333333333
DA1414,Bacteroides_faecis,Bacteroides,RPPs,Radix Pseudostellariae polysaccharides,Pseudostellaria heterophylla,Plant,0.009833333333333333,0.002857738033247041,6,0.011000000000000001,0.008666666666666666
DA1414,Bacteroides_faecis,Bacteroides,SPs,Scrophulariaceae polysaccharide,Scrophularia ningpoensis,Plant,0.026,0.023400854685246008,6,0.019666666666666666,0.03233333333333333
DA1439,Bacteroides_clarus,Bacteroides,APs,Astragalus polysaccharides,Astragalus membranaceus,Plant,0.23266666666666666,0.01601041327803044,3,0.23266666666666666,
DA1439,Bacteroides_clarus,Bacteroides,AdPs,Adenophora polysaccharides,Glehnia littoralis,Plant,0.45316666666666666,0.028840365231159373,6,0.478,0.4283333333333333
DA1439,Bacteroides_clarus,Bacteroides,AnPs,Angelica polysaccharides,Angelica sinensis,Plant,0.19233333333333333,0.02091570382910093,6,0.21,0.17466666666666666
DA1439,Bacteroides_clarus,Bacteroides,CPPs,Codonopsis pilosula polysaccharides,Codonopsis pilosula,Plant,0.04833333333333333,0.004366539438350086,6,0.04933333333333333,0.04733333333333333
DA1439,Bacteroides_clarus,Bacteroides,DPs_1,Dendrobe polysaccharides 1,Dendrobium officinale,Plant,0.05833333366666666,0.002886751345948132,3,0.05833333366666666,
DA1439,Bacteroides_clarus,Bacteroides,DPs_2,Dendrobe polysaccharides 2,Dendrobium officinale,Plant,0.057333333333333326,0.0015275252316519423,3,0.057333333333333326,
DA1439,Bacteroides_clarus,Bacteroides,GLPs_1,Ganoderma lucidum polysaccharides 1,Ganoderma lucidum,Fungus,0.30533333366666665,0.009291573243177583,3,0.30533333366666665,
