catnr,compound_name,hgpcr,rlu,z_score,smiles
CFN99425,Koumine,5HT4B,3168.5,0.6309565021954036,CN1C[C@]2([C@@H]3C[C@@H]4C5=NC6=CC=CC=C6[C@]52C[C@H]1[C@H]3CO4)C=C
CFN99400,alpha-Yohimbine,5HT4B,3274.0,0.875909256497575,COC(=O)[C@@H]1[C@H](CC[C@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
CFN99377,Vallesamine N-oxide,5HT4B,2837.5,-0.13756825300856546,C/C=C\1/C[N+]2(CC[C@@H]1[C@](C3=C(C2)C4=CC=CC=C4N3)(CO)C(=O)OC)[O-]
CFN99304,10-Hydroxyscandine,5HT4B,3690.5,1.8429502249037777,COC(=O)[C@]12C[C@@]3(C=CCN4[C@@H]3[C@@]1(CC4)C5=C(C=CC(=C5)O)NC2=O)C=C
CFN99260,N1-Methoxymethyl picrinine,5HT4B,3156.5,0.6030945775354409,CC=C1CN2C3CC1C(C45C3(N(C6=CC=CC=C64)COC)OC2C5)C(=O)OC
CFN99240,(Z)-Akuammidine,5HT4B,3187.0,0.673910302712846,CC=C1CN2C3CC1C(C2CC4=C3NC5=CC=CC=C45)(CO)C(=O)OC
CFN99223,Picrasidine S,5HT4B,3292.5,0.9188630570150174,COC1=CC=CC2=C1NC3=C2C(=CN=C3C4CCCC5=[N+]4C=C(C6=C5NC7=C6C=CC=C7OC)OC)OC
CFN98921,beta-Yohimbine,5HT4B,2931.5,0.08068349016114176,COC(=O)[C@H]1[C@@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
CFN98901,Caboxine A,5HT4B,2914.5,0.04121243022619472,C[C@H]1[C@@H]2CN3CC[C@@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=C(C=C(C=C5)OC)NC4=O
CFN98853,Vindorosine,5HT4B,2980.0,0.1932921023284907,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC=CC=C45)C
CFN98852,Lochnerine,5HT4B,3302.0,0.9409204140374878,C/C=C\1/CN2[C@H]3C[C@@H]1[C@H]([C@@H]2CC4=C3NC5=C4C=C(C=C5)OC)CO
CFN98799,Vandrikidine,5HT4B,2831.5,-0.15149921533854677,C[C@H]([C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)C(=O)OC)O
CFN98762,Isorauhimbine,5HT4B,2417.0,-1.1138965296347558,COC(=O)[C@@H]1[C@H](CC[C@H]2[C@@H]1C[C@@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
CFN98760,Aricine,5HT4B,2661.0,-0.5473707282155157,C[C@H]1[C@@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=C4C=C(C=C5)OC
CFN98759,Sarpagine,5HT4B,2664.5,-0.5392443335230266,C/C=C\1/CN2[C@H]3C[C@@H]1[C@H]([C@@H]2CC4=C3NC5=C4C=C(C=C5)O)CO
CFN98700,Picrinine,5HT4B,2880.5,-0.03772968964369939,CC=C1CN2C3CC1C(C45C3(NC6=CC=CC=C64)OC2C5)C(=O)OC
CFN98684,10-Hydroxydihydroperaksine,5HT4B,2678.5,-0.5067387547530703,CC1C(C2CC3N1C(C2CO)CC4=C3NC5=C4C=C(C=C5)O)CO
CFN98673,Perakine,5HT4B,2734.5,-0.37671643967324464,C[C@H]1[C@@H](C2C[C@@H]3N1[C@@H]4C2[C@H]([C@@]5(C4)C3=NC6=CC=CC=C56)OC(=O)C)C=O
CFN98622,Gelsevirine,5HT4B,2871.5,-0.058626133138671356,CN1CC2([C@@H]3C[C@H]4[C@]5([C@H]2[C@H]1C3CO4)C6=CC=CC=C6N(C5=O)OC)C=C
CFN98589,Vincristine,5HT4B,2865.5,-0.07255709546865267,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
