lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHCth-14,CH,Cth,14,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,195.38191942351784,198.16999672453323,213.90664919751063,3053,27.34682291666664
CHCth-15,CH,Cth,15,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,175.21797323135755,206.34990439770556,209.86902485659655,2092,21.452604166666674
CHCth-16,CH,Cth,16,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,167.48722741433022,210.1595015576324,209.31152647975077,1605,17.65958333333333
CHEth-1,CH,Eth,1,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,190.47171787709496,200.5324720670391,212.4022346368715,2864,26.335729166666653
CHEth-2,CH,Eth,2,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,183.89368379756766,202.9132993330718,211.95488426834052,2549,24.427760416666644
CHEth-3,CH,Eth,3,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,187.90939349112426,201.5684171597633,212.5310650887574,2704,25.29526041666668
CHEth-4,CH,Eth,4,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,181.5203996669442,204.06411323896754,211.23771856786013,2402,23.482968749999998
CHEth-5,CH,Eth,5,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,204.25808348030571,193.94503233392123,215.3997648442093,3402,29.115416666666647
CHEth-6,CH,Eth,6,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",8.832630103776026,,0,0,202.98602701443875,169.82068001863064,201.14415463437354,4294,44.49312499999999
CHEth-7,CH,Eth,7,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",9.514611820330988,,0,0,200.59284420289856,166.73097826086956,198.73958333333334,4416,47.410781250000014
CHEth-8,CH,Eth,8,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,193.0064538043478,199.42764945652175,213.24592391304347,2944,26.678802083333323
CHEth-9,CH,Eth,9,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.8344092057255,192.84984563570026,216.25568341285432,3563,29.676302083333354
CHEth-10,CH,Eth,10,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",14.42189662107085,14.8595833,1,0,176.27338129496403,119.86690647482014,163.5477092010602,5282,84.89510416666667
CHEth-11,CH,Eth,11,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.02198421645997,193.00789177001127,216.31369785794814,3548,29.672031250000003
CHEth-12,CH,Eth,12,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,195.36771447282254,198.15193189259986,213.88670595939752,3054,27.326354166666647
CHEth-13,CH,Eth,13,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,166.47375415282391,211.30099667774087,209.58803986710964,1505,16.750937499999992
CHEth-14,CH,Eth,14,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,173.83759842519686,207.5349409448819,210.14074803149606,2032,20.85520833333331
